Models,Accuracy,Precision (Fraud),Recall (Fraud),F1-Score (Fraud),ROC-AUC
Support Vector Machine (LinearSVC),0.9801,0.0708,0.8649,0.1309,0.9657
Decision Tree,0.9973,0.3627,0.723,0.4831,0.8604
K-Nearest Neighbors,0.9985,0.5381,0.8108,0.6469,0.9219
