Models,Accuracy,Precision (Fraud),Recall (Fraud),F1-Score (Fraud),ROC-AUC
Decision Tree,0.9891,0.118,0.8176,0.2063,0.9266
Support Vector Machine (LinearSVC),0.9801,0.0708,0.8649,0.1309,0.9657
K-Nearest Neighbors,0.9929,0.18,0.8649,0.298,0.9313
