Models,Accuracy,Precision (Fraud),Recall (Fraud),F1-Score (Fraud),ROC-AUC
Support Vector Machine (LinearSVC),0.9819,0.077,0.8581,0.1413,0.9717
Decision Tree,0.9589,0.0349,0.8514,0.067,0.9334
K-Nearest Neighbors,0.9838,0.0852,0.8581,0.155,0.9458
