Models,Accuracy,Precision (Fraud),Recall (Fraud),F1-Score (Fraud),ROC-AUC
Support Vector Machine (LinearSVC),0.9825,0.0791,0.8605,0.1449,0.9711
Decision Tree,0.9737,0.0538,0.8605,0.1013,0.9384
K-Nearest Neighbors,0.984,0.0863,0.8605,0.1569,0.9499
